school_id,university_id,year,track,admits,offers,basis,confidence,source_id
scie,cambridge,2025,ALEVEL,33,,admits,L2,qq-oxbridge-2025
guanghua,cambridge,2025,ALEVEL,27,,admits,L2,qq-oxbridge-2025
ulink,cambridge,2025,ALEVEL,10,,admits,L1,ulink-2025-official
ulink,oxford,2025,ALEVEL,5,,admits,L1,ulink-2025-official
ulink,cambridge,2024,ALEVEL,9,,admits,L1,ulink-2024-official
ulink,oxford,2024,ALEVEL,8,,admits,L1,ulink-2024-official
ulink,cambridge,2023,ALEVEL,9,,admits,L1,ulink-2023-official
ulink,oxford,2023,ALEVEL,7,,admits,L1,ulink-2023-official
guanghua,oxford,2025,ALEVEL,18,,admits,L2,jingling-oxbridge-sh-2025
guanghua,cambridge,2024,ALEVEL,9,,admits,L2,alevel-2024-sohu
guanghua,oxford,2024,ALEVEL,7,,admits,L2,alevel-2024-sohu
pinghe,cambridge,2025,IB,1,,admits,L2,pinghe-oxbridge-2025
pinghe,oxford,2025,IB,5,,admits,L2,pinghe-oxbridge-2025
ykpao,cambridge,2024,IB,5,,admits,L3,cam-2024-sohu
ykpao,oxford,2024,IB,2,,admits,L3,ox-2024-hanlin
xinghewan,cambridge,2024,AP,2,,admits,L3,cam-2024-sohu
xinghewan,oxford,2024,AP,3,,admits,L3,ox-2024-hanlin
scie,oxford,2025,ALEVEL,8,,admits,L2,sohu-oxbridge-sz-2025
scie,cambridge,2024,ALEVEL,32,,admits,L1,scie-2024-official
scie,oxford,2024,ALEVEL,16,,admits,L1,scie-2024-official
scie,cambridge,2023,ALEVEL,35,,admits,L2,bendibao-oxbridge-sz-2023
scie,oxford,2023,ALEVEL,12,,admits,L2,bendibao-oxbridge-sz-2023
hsfz,cambridge,2025,AP,4,,admits,L1,hfi-performance
hsfz,oxford,2025,AP,1,,admits,L1,hfi-performance
hsfz,cambridge,2024,AP,1,,admits,L1,hfi-2024-official
hsfz,oxford,2023,AP,1,,admits,L1,hfi-performance
gdsyzx,cambridge,2024,AP,1,,admits,L2,qq-camb-2024
keystone,cambridge,2023,IB,3,,admits,L1,keystone-2023-official
keystone,oxford,2023,IB,2,,admits,L1,keystone-2023-official
hzwy,cambridge,2024,ALEVEL,6,,admits,L2,ixedu-hz-2024
hzwy,oxford,2024,ALEVEL,1,,admits,L2,ixedu-hz-2024
