school_id,year,track,graduates,total_offers,source_id
scie,2025,ALEVEL,450,2000,scie-2025-official
scie,2024,ALEVEL,480,2100,scie-2024-official
ulink,2025,ALEVEL,263,,ulink-2025-official
qibaodwight,2025,IB,167,909,qbdw-2025-jingsailian
qibaodwight,2024,IB,170,939,qbdw-2024-sohu
qibaodwight,2023,IB,189,740,qbdw-2023-xhd
ykpao,2025,IB,122,,ykpao-2025-163
ykpao,2024,IB,134,,ykpao-2025-163
ykpao,2023,IB,133,,ykpao-2025-163
keystone,2025,IB,104,500,keystone-2025-official
keystone,2024,IB,96,386,keystone-2024-official
keystone,2023,IB,108,375,keystone-2023-official
bcis,2024,IB,,198,bcis-2024-official
bcis,2023,IB,,187,bcis-2023-official
xinghewan,2025,AP,167,,xinghewan-2025-gjxx
xinghewan,2024,AP,155,,xinghewan-2024-gjxx
shsid,2025,IB,76,,shsid-2025-official
szzx,2025,AP,95,,szzx-5years-sohu
szzx,2024,AP,64,,szzx-5years-sohu
szzx,2023,AP,79,,szzx-5years-sohu
basis-sz,2025,AP,26,170,basis-sz-2025-gjxx
hsfz,2025,AP,134,,hfi-2025-163
hsfz,2024,AP,110,740,hfi-2024-official
hsfz,2023,AP,137,,hfi-2025-163
dulwich-sz,2025,ALEVEL,164,890,dulwich-sz-2025-official
guanghua,2025,ALEVEL,489,,ghcis-guidance
guanghua,2024,ALEVEL,414,,ghcis-guidance
guanghua,2023,ALEVEL,344,,ghcis-guidance
guanghua,2013,ALEVEL,17,58,ghcis-about-history
ulink,2024,ALEVEL,286,,ulink-2024-official
ulink,2023,ALEVEL,224,,ulink-2023-official
ulink,2022,ALEVEL,209,,ulink-2022-official
xinghewan,2023,AP,120,,ssbs-2023-xibao
hsfz,2026,AP,150,1214,hfi-performance
