id,type,title,url,published_at,captured_at,confidence
qq-oxbridge-2025,media,牛剑录取风云榜：2025年剑桥放榜，谁是新晋"顶流"?,https://news.qq.com/rain/a/20250205A06FYB00,2025-02-05,2026-07-29,L2
shsid-2025,official,星辰大海，愿少年 — 2025届大学录取结果汇报,https://cn.shsid.org/info/1661/61201.htm,,2026-07-29,L1
jingling-oxbridge-sh-2025,media,2025牛剑放榜，上海地区领跑全国，460+offer花落谁家？（京领新国际）,https://c.m.163.com/news/a/JNV1M2PD0518WF2F.html,2025-02-09,2026-07-29,L2
ulink-2025-official,official,第十八届(2025届)毕业生（预）录取统计 – 领科教育,https://www.ulink.cn/2025-offer-statistics/,2025-05-23,2026-07-29,L1
ulink-2024-official,official,第十七届(2024届)毕业生最终入读大学统计 – 领科教育,https://www.ulink.cn/2024-placement/,,2026-07-29,L1
ulink-2023-official,official,第十六届(2023届)毕业生最终入读大学统计 – 领科教育,https://www.ulink.cn/%E7%AC%AC%E5%8D%81%E5%85%AD%E5%B1%8A2023%E5%B1%8A%E6%AF%95%E4%B8%9A%E7%94%9F%E6%9C%80%E7%BB%88%E5%85%A5%E8%AF%BB%E5%A4%A7%E5%AD%A6%E7%BB%9F%E8%AE%A1/,,2026-07-29,L1
guanghua-5yr-2025,media,牛剑offer转化率高达91.1%！上海光华剑桥国际学校究竟有多牛？附：26春招时间+考情回顾,https://www.10100.com/article/38656694,2025-11-21,2026-07-29,L2
alevel-2024-sohu,media,升学数据2024 | 上海A-Level领科PK光剑毕业生，入读G5牛剑港校去向,https://www.sohu.com/a/776640323_121700519,2024-05-07,2026-07-29,L2
pinghe-oxbridge-2025,media,上海平和双语学校2025届藤校&牛剑录取成绩（远播国际教育）,https://m.guoji.114study.com/news/23580/all/,2025-04-01,2026-07-29,L2
pinghe-track-2025,media,上海平和2025升学成绩汇总！IB和AP方向如何选择？（远播国际教育）,https://m.guoji.114study.com/school/417/news/24715/,2025-05-28,2026-07-29,L2
ib-schools-2025-jsl,media,包玉刚/世外/平和/七德/交中/位育…这些IB热门校25届升学成果怎么样了？（国际教育联盟）,https://www.jingsailian.com/guojixuexiao/shgjxx/1607076.html,2025-09-22,2026-07-29,L2
cam-2024-sohu,media,2024剑桥放榜！250+枚Offer给了这些国际学校（数据截至2024-01-24，网络汇总）,https://www.sohu.com/a/754472154_494598,2024-01-26,2026-07-29,L3
ox-2024-hanlin,media,2024牛津大学放榜狂撒170+offer！来看看花落谁家！（翰林国际教育，数据截至2024-01-11，网络汇总）,https://www.hanlin.com/archives/1080681,2024-01-11,2026-07-29,L3
scie-2025-official,official,英美全能｜2025深国交全球本科录取,https://www.alevel.com.cn/news/3019/,2025-05-16,2026-07-29,L1
scie-2024-official,official,聚星光 帆远航｜深国交2024全球本科录取,https://www.alevel.com.cn/news/2894/,2024-05-20,2026-07-29,L1
bendibao-oxbridge-sz-2023,media,2023深圳学校牛津剑桥预录取情况一览,https://sz.bendibao.com/edu/2023129/914273.shtm,2023-01-29,2026-07-29,L2
sohu-oxbridge-sz-2025,media,深圳英系国际高中如何选？这份深圳2025年牛剑录取榜单请收好！,https://m.sohu.com/a/862326090_121728076/,2025-02-22,2026-07-29,L2
qq-camb-2024,media,中国大陆共计超420人！剑桥大学发布2024预录取，广东多校迎突破（羊城晚报）,https://news.qq.com/rain/a/20240201A03XM900,2024-02-01,2026-07-29,L2
hfi-performance,official,办学成绩 · HFI 华附国际部历届海外大学录取名单,https://www.gdhfi.com/performance/index.html,,2026-07-29,L1
hfi-2024-official,official,HFI华附国际部2024届海外大学录取数据发布,https://www.gdhfi.com/news/1191.html,2024-04-30,2026-07-29,L1
hfi-2025-163,media,华附国际部2025届录取结果分析，美本录取难在哪？,https://c.m.163.com/news/a/K5JA0EOV05365Y45.html,2025-07-28,2026-07-29,L2
